model,target_specificity,repeats,recall_mean,recall_sd,recall_min,recall_max,specificity_mean,specificity_sd,specificity_min,specificity_max,precision_mean,precision_sd,precision_min,precision_max,accuracy_mean,accuracy_sd,accuracy_min,accuracy_max
nested_candidate_variants,0.90,5,0.5774,0.0199,0.5493,0.5915,0.9198,0.0014,0.9186,0.9220,0.0569,0.0014,0.0553,0.0586,0.9169,0.0013,0.9159,0.9189
nested_candidate_variants,0.95,5,0.4563,0.0161,0.4366,0.4789,0.9528,0.0010,0.9513,0.9537,0.0750,0.0030,0.0718,0.0782,0.9487,0.0010,0.9472,0.9496
nested_candidate_variants,0.98,5,0.3465,0.0077,0.3380,0.3521,0.9827,0.0009,0.9817,0.9842,0.1437,0.0065,0.1341,0.1519,0.9774,0.0009,0.9763,0.9788
nested_candidate_variants,0.99,5,0.2761,0.0077,0.2676,0.2817,0.9907,0.0003,0.9904,0.9910,0.2000,0.0060,0.1919,0.2083,0.9848,0.0003,0.9845,0.9851
reference_no_secondary,0.90,5,0.4704,0.0126,0.4507,0.4789,0.9371,0.0021,0.9350,0.9405,0.0590,0.0018,0.0566,0.0615,0.9332,0.0020,0.9312,0.9365
reference_no_secondary,0.95,5,0.4085,0.0000,0.4085,0.4085,0.9532,0.0012,0.9512,0.9542,0.0682,0.0016,0.0656,0.0695,0.9487,0.0012,0.9467,0.9496
reference_no_secondary,0.98,5,0.3183,0.0077,0.3099,0.3239,0.9834,0.0011,0.9823,0.9850,0.1391,0.0059,0.1329,0.1477,0.9779,0.0010,0.9768,0.9794
reference_no_secondary,0.99,5,0.2761,0.0077,0.2676,0.2817,0.9907,0.0003,0.9904,0.9910,0.2000,0.0060,0.1919,0.2083,0.9848,0.0003,0.9845,0.9851
