table_section,analysis,evaluation_design,call_policy,model,threshold_target,total_isolates_or_predictions,phenotype_r,phenotype_s,evaluated,coverage,unknown_no_call,indeterminate,tp,tn,fp,fn,recall,specificity,precision,accuracy,notes
Frozen external validation,Frozen binary AMR-Hunter,CRyPTIC HIGH-quality phenotype validation,R/S isolate call; UNKNOWN counted in coverage denominator,frozen_binary_rules,,8535,71,8464,8506,0.9966,29,,23,8278,157,48,0.3239,0.9814,0.1278,0.9759,Frozen result; accuracy excludes UNKNOWN/no-call isolates.
Five-level interpretation layer,Five-level hard R only,CRyPTIC phenotype validation with calibrated five-level labels,Only hard R counted as resistant; Likely R/Indeterminate/Likely S/S counted as non-resistant,five_level_rules,,8535,71,8464,8535,1.0000,0,440,17,8456,8,54,0.2394,0.9991,0.6800,0.9927,Indeterminate isolates are retained in the table and treated as non-resistant calls for this binary projection.
Five-level interpretation layer,Five-level R or Likely R,CRyPTIC phenotype validation with calibrated five-level labels,R and Likely R counted as resistant; Indeterminate/Likely S/S counted as non-resistant,five_level_rules,,8535,71,8464,8535,1.0000,0,440,29,8426,38,42,0.4085,0.9955,0.4328,0.9906,Indeterminate isolates are retained in the table and treated as non-resistant calls for this binary projection.
Supervised genotype-only upper bound,Repeated 5x5 CV best high-specificity recall,"Repeated stratified 5-fold CV, aggregated across 5 repeats",Training-fold threshold selected to satisfy target specificity,no_secondary,0.95,42675,355,42320,42675,1.0000,0,,145,40339,1981,210,0.4085,0.9532,0.0682,0.9487,"Upper-bound model; 42,675 predictions are 8,535 isolates x 5 repeats."
Supervised genotype-only upper bound,Repeated 5x5 CV relaxed-specificity recall ceiling,"Repeated stratified 5-fold CV, aggregated across 5 repeats",Training-fold threshold selected to satisfy target specificity,no_mtrb,0.90,42675,355,42320,42675,1.0000,0,,182,39124,3196,173,0.5127,0.9245,0.0539,0.9211,Upper-bound model showing recall/specificity tradeoff.
Supervised genotype-only upper bound,Leave-one-site-out best high-specificity recall,Leave-one-site-out validation using UNIQUEID site prefix,Training-fold threshold selected to satisfy target specificity,no_secondary,0.95,8535,71,8464,8535,1.0000,0,,30,8047,417,41,0.4225,0.9507,0.0671,0.9463,Upper-bound model; target specificity is selected on training sites and may shift on held-out sites.
Supervised genotype-only upper bound,Leave-one-site-out relaxed-specificity recall ceiling,Leave-one-site-out validation using UNIQUEID site prefix,Training-fold threshold selected to satisfy target specificity,no_mtrb,0.90,8535,71,8464,8535,1.0000,0,,35,7842,622,36,0.4930,0.9265,0.0533,0.9229,Upper-bound model showing held-out site recall/specificity tradeoff.
