scenario,description,total_isolates,phenotype_r,phenotype_s,hard_call_isolates,unknown_or_indeterminate_isolates,coverage,hard_call_accuracy,tp,tn,fp,fn,pred_R,pred_S,pred_UNKNOWN,pred_INDETERMINATE,r_indeterminate,s_indeterminate,hard_call_sensitivity,hard_call_specificity,r_not_called_sensitive,s_not_called_resistant,fn_reduction_vs_baseline,fp_reduction_vs_baseline,coverage_delta_vs_baseline
baseline,No indeterminate override; use calibrated CRyPTIC validation calls as exported.,8535,71,8464,8506,29,0.9966,0.9759,23,8278,157,48,180,8326,29,0,0,0,0.3239,0.9814,0.3239,0.9780,0,0,0.0000
core_unsupported,Current S calls become INDETERMINATE when an unsupported core BDQ gene variant is present.,8535,71,8464,8216,319,0.9626,0.9753,23,7990,157,46,180,8036,29,290,2,288,0.3333,0.9807,0.3521,0.9780,2,0,-0.0340
core_secondary_unsupported,Current S calls become INDETERMINATE when unsupported core or secondary BDQ gene variants are present.,8535,71,8464,6169,2366,0.7228,0.9708,23,5966,157,23,180,5989,29,2337,25,2312,0.5000,0.9744,0.6761,0.9780,25,0,-0.2738
mtrB_context,Current S calls become INDETERMINATE when unsupported mtrB Met517Leu or Pro18Ser is present.,8535,71,8464,791,7744,0.0927,0.7977,23,608,157,3,180,611,29,7715,45,7670,0.8846,0.7948,0.9577,0.9780,45,0,-0.9039
core_secondary_mtrB_context,Current S calls become INDETERMINATE for unsupported core/secondary variants or mtrB context variants.,8535,71,8464,590,7945,0.0691,0.7288,23,407,157,3,180,410,29,7916,45,7871,0.8846,0.7216,0.9577,0.9780,45,0,-0.9275
any_unsupported_bdq_scope,Current S calls become INDETERMINATE when any unsupported configured BDQ-scope variant is present.,8535,71,8464,583,7952,0.0683,0.7256,23,400,157,3,180,403,29,7923,45,7878,0.8846,0.7181,0.9577,0.9780,45,0,-0.9283
